
aç,tok
al,ver
art,ön
az,çok
bin,in
boy,en
çek,it
çık,in
çok,az
dış,iç
en,boy
er,geç
eş,zıt
geç,er
iç,dış
in,çık
it,çek
ört,aç
tok,aç
üç,kon
ver,al
zıt,eş
alt,üst
arka,ön
ast,üst
baş,son
bat,çık
bol,kıt
boz,yap
çiz,sil
dip,baş
dön,git
dur,git
epey,az
gel,git
gir,çık
git,dur
gok,yer
haz,acı
hep,hiç
hiç,hep
ilk,son
kapa,aç
kara,ak
kış,yaz
kıt,bol
ön,arka
öz,üvey
pak,pis
sağ,sol
san,kip
sıl,çiz
sol,sağ
son,ilk
tün,gün
üst,ast
üvey,öz
var,yok
yap,boz
yaz,kış
yer,gök
yık,yap
yok,var
ağla,gül
ak,siyah
amir,ast
bir,ayrı
boş,dolu
çift,tek
çüzi,çok
dik,eğik
diri,ölü
dolu,boş
dul,evli
düz,eğri
eğik,dik
fena,iyi
gül,ağla
hayli,az
hür,esir
ince,iri
iyi,kötü
kapat,aç
kotu,iyi
mazi,ati
ölü,diri
onar,boz
pes,ince
tek,çift
tepe,dip
ters,düz
ufak,iri
uyan,uyu
uyu,uyan
yaş,kuru
zeki,saf
acı,tatlı
ala,beter
aleyh,leh
arı,kirli
artı,eksi
ayrı,aynı
bağla,çöz
baki,fani
balig,toy
başı,sonu
basit,zor
batı,doğu
bay,bayan
bayan,bay
bed,güzel
bey,hanım
biraz,çok
çare,dert
çatak,düz
cefa,sefa
cenk,sulh
ceza,ödül
çöz,bağla
dar,geniş
derin,sığ
doğu,batı
doruk,dip
ekşi,artı
ender,bol
erken,geç
eski,yeni
ezel,ebed
fani,baki
garp,doğu
geniş,dar
gom,çıkar
güç,kolay
hafi,açık
ham,olgun
hanım,bey
harp,sulh
hoş,nahoş
kabul,ret
kal,ayrıl
kar,zarar
karşıt,eş
katı,sıvı
kısa,uzun
kolay,zor
konuş,sus
koyu,açık
küt,sivri
leh,aleyh
nahoş,hoş
ödül,ceza
olgun,ham
pis,temiz
ret,kabul
şark,garp
sefa,cefa
şen,yaslı
şer,hayır
sığ,derin
sıvı,katı
sivri,küt
sonu,başı
sulh,cenk
sulu,koyu
sus,konuş
tam,yarım
tatlı,acı
toy,baliğ
uzun,kısa
yarim,tam
yeni,eski
zarar,kâr
zor,kolay
abus,güleç
açan,büken
acemi,usta
ağır,hafif
ahir,evvel
ahmak,zeki
aksi,uysal
alim,cahil
alış,veriş
alma,verme
antik,yeni
artcı,öncü
asil,kopya
aşk,nefret
ati,geçmiş
ayıl,bayıl
azal,çoğal
başka,aynı
bayat,taze
bebe,yaşlı
beddua,dua
bekar,evli
berbat,iyi
beri,karşı
berk,çürük
biçim,ekim
bitap,dinç
bön,uyanık
büken,açan
bul,kaybet
cahil,alim
cedit,eski
cereme,kâr
cevap,soru
çiğ,pişmiş
çıkış,iniş
cilalı,mat
çömez,usta
deniz,kara
dinç,bitap
dişi,erkek
dogum,ölüm
dua,beddua
düş,gerçek
ebedi,fani
eğri,doğru
ehil,cahil
ekim,biçim
el,tanıdık
erıl,dişil
esas,yedek
esen,hasta
esir,özgür
esnek,katı
etki,tepki
evet,hayır
evli,bekâr
evvel,ahir
fahiş,ucuz
fer,cansız
fos,sağlam
gam,sevinç
gani,fakir
genç,yaşlı
genel,özel
gerçek,düş
geri,ileri
gögüs,sırt
güleç,abus
gür,seyrek
hafif,ağır
hasım,dost
havas,avam
hayat,ölüm
hayır,evet
hiciv,övgü
ileri,geri
ineç,yukaç
iniş,çıkış
irak,yakın
ıslak,kuru
kaba,nazik
kalın,ince
karşı,beri
kart,körpe
keder,neşe
kibar,kaba
konma,uçma
kopya,asıl
körpe,kart
kurnaz,saf
kuru,ıslak
mat,parlak
memur,amir
nazik,kaba
nefret,aşk
nemli,kuru
neşe,keder
ölüm,doğum
önce,sonra
öncü,artçı
övgü,hiciv
özel,resmî
pişmiş,çiğ
resmi,özel
saf,kurnaz
satış,alış
sevin,üzül
seyrek,sık
sırt,göğüs
sonra,önce
soru,cevap
sual,cevap
tanıdık,el
taze,bayat
tepki,etki
ucma,konma
usta,acemi
uzak,yakın
üzül,sevin
veriş,alış
verme,alma
yağış,ağış
yakın,uzak
yanıt,soru
yasa,geber
yaşam,ölüm
yaşlı,genç
yedek,asıl
yergi,övgü
yeşil,kuru
yokuş,iniş
zarif,kaba
acar,güçsüz
acele,yavaş
açik,kapalı
açıkgöz,saf
acma,kapama
afacan,uslu
akşam,sabah
aktıf,pasif
alacak,borç
aleni,gizli
ardıl,öncel
arz,saklama
atik,hantal
ayık,sarhoş
aynı,farklı
barış,savaş
bariz,gizli
başla,bitir
batar,çıkar
batıl,doğru
batma,Çıkma
baygın,diri
beyaz,siyah
bilge,cahil
bitir,başla
bitkin,diri
boke,korkak
boluk,bütün
borç,alacak
boşan,evlen
budala,zeki
bükme,germe
bütün,eksik
buyruk,rica
büyük,küçük
cabuk,yavaş
cansız,diri
cenup,kuzey
cetin,kolay
cezir,medar
cici,çirkin
cihat,barış
çıkar,batar
çıktı,girdi
çılgın,uslu
çizme,silme
çoğul,tekil
çokça,ender
çözüm,sorun
dahil,hariç
deli,akıllı
derman,dert
dert,derman
dikey,yatay
doğal,yapay
donma,erime
donme,gitme
dönüş,gidiş
dost,düşman
dövüş,barış
düğüm,çözüm
düşman,dost
efendi,kaba
egemen,köle
eğreti,esas
eksik,fazla
elem,sevinç
erime,donma
erkek,kadın
essah,yalan
ezeli,ebedi
eziyet,sefa
faal,tembel
farklı,aynı
fayda,zarar
fazla,eksik
fert,toplum
gaip,ortada
gece,gündüz
gelir,gider
geliş,gidiş
gelme,gitme
getir,götür
gevşek,sıkı
gider,gelir
gidiş,dönüş
girdi,çıktı
giris,çıkış
gitme,gelme
giyin,soyun
gizli,bariz
götür,getir
güçsüz,acar
günah,sevap
gündüz,gece
güney,kuzey
gurbet,sıla
halef,selef
halis,temiz
halsiz,dinç
haram,helal
hariç,dahil
has,katışık
haşarı,uslu
haylaz,uslu
helal,haram
hızlı,yavaş
hor,değerli
indirim,zam
ishal,kabız
isyan,itaat
itaat,isyan
kabız,ishal
kadın,erkek
kamil,cahil
kapalı,açık
kemer,tekne
kirli,temiz
köle,efendi
küçük,büyük
kurak,sulak
kuytu,uğrak
kuzey,güney
masum,suçlu
mert,namert
minik,büyük
nevmit,umut
olumlu,baki
öncül,ardıl
opak,saydam
ortada,gaip
övünç,utanç
pahalı,ucuz
pasif,aktif
rica,buyruk
sabah,akşam
saklama,arz
sarhoş,ayık
savaş,barış
selef,halef
sevap,günah
sıcak,soğuk
sıkı,gevşek
sıla,gurbet
şimal,cenup
siyah,beyaz
soğuk,sıcak
somut,soyut
sorun,çözüm
soyut,somut
suçlu,masum
sulak,kurak
taban,tavan
tamam,eksik
tavan,taban
tekil,çoğul
tekne,kemer
temiz,kirli
tikel,tümel
toplum,fert
tümel,tikel
ucuz,pahalı
uğrak,kuytu
umut,nevmit
uslu,afacan
üstün,hakir
uyuşuk,atik
vahşi,evcil
vebal,sevap
yalan,ciddi
yapay,doğal
yarar,zarar
yatay,dikey
yavaş,çabuk
yaya,binici
yenik,galip
yurt,gurbet
zam,indirim
zemin,tavan
abes,anlamlı
acayip,doğal
adi,kaliteli
ağdalı,yalın
ahbap,düşman
aheste,çabuk
ahiret,dünya
akıllı,aptal
alçak,yüksek
alıcı,satıcı
alık,açıkgöz
alkış,kargış
almak,vermek
anlamlı,abes
aptal,akıllı
aralıklı,sık
aşağı,yukarı
asgari,azami
aşikar,gizli
aşırı,ölçülü
aydın,bağnaz
aymaz,uyanık
azami,asgari
battal,zarif
bayağı,bayar
bayar,bayağı
beleş,paralı
benzer,başka
beraber,ayrı
biçare,mutlu
binmek,inmek
bölme,çarpma
bonkör,cimri
boylam,enlem
bozgun,zafer
bozuk,sağlam
bulanık,duru
canlı,fersiz
carpık,doğru
çarpma,bölme
çekici,itici
cekmek,itmek
cemil,çirkin
cesur,korkak
cevik,hantal
ciddi,şakacı
çıkmak,inmek
çile,esenlik
cılız,gürbüz
cimri,cömert
çirkin,güzel
çolak,sağlam
cömert,cimri
coşkun,sakin
çukur,tümsek
çürük,sağlam
dağıl,toplan
daimi,geçici
destek,engel
devrim,evrim
dikit,sarkıt
dışarı,içeri
dişli,güçsüz
doğmak,ölmek
doğru,çarpık
donuk,parlak
dünya,ahiret
duru,bulanık
ecnebi,yerli
engel,destek
enlem,boylam
ertesi,geçen
evcil,yabani
evrim,devrim
fakir,zengin
fersiz,canlı
gafil,uyanık
galip,mağlup
geçen,ertesi
görgülü,kaba
göster,gizle
gürbüz,cılız
güzel,çirkin
hakiki,batıl
hatırla,unut
hayal,gerçek
hırçın,uysal
hususi,genel
hüzün,sevinç
içeri,dışarı
ifrat,tefrit
ihtiyar,genç
ilkel,çağdaş
indir,kaldır
inmek,çıkmak
itmek,çekmek
kaldır,indir
kaliteli,adi
kaybet,kazan
kaybol,görün
kazan,kaybet
kazanç,zarar
keşif,saydam
ketum,geveze
kıvanç,utanç
konmak,uçmak
korkak,cesur
maddi,manevi
mağlup,galip
manevi,maddi
mazlum,zalim
medeni,ilkel
modern,ilkel
mükafat,ceza
müsrif,cimri
neden,netice
neşeli,üzgün
nesnel,öznel
netice,neden
okumuş,cahil
ölçülü,aşırı
ölmek,doğmak
onarma,bozma
örtmek,açmak
övmek,yermek
özgür,tutsak
öznel,nesnel
parlak,donuk
pinti,cömert
saglam,çürük
sahici,yapma
sahte,gerçek
şakacı,ciddi
samimi,resmi
sarkıt,dikit
satıcı,alıcı
satmak,almak
saydam,kesif
sert,yumuşak
sevgi,nefret
sıska,gürbüz
şişman,zayıf
sözlü,yazılı
teklik,çoğul
tümsek,çukur
tutsak,özgür
uçmak,konmak
umumi,hususi
unut,hatırla
uslanma,azma
utanç,kıvanç
uyanık,aymaz
uysal,hırçın
uyuma,uyanma
üzgün,neşeli
verici,alıcı
vermek,almak
yabani,evcil
yalın,ağdalı
yanlış,doğru
yapma,sahici
yaramaz,uslu
yazılı,sözlü
yermek,övmek
yukarı,aşağı
yüksek,alçak
yüksel,alçal
yumuşak,katı
zafer,bozgun
zalim,mazlum
zayıf,şişman
zengin,fakir
ziyan,kazanç
acıklı,neşeli
açmak,kapamak
ağaçlık,çorak
analiz,sentez
arif,bilgisiz
arsız,utangaç
aşina,yabancı
avanak,cingöz
azlık,bereket
bagımlı,özgür
bağlama,çözme
bağlı,başıboş
bağnaz,çağdaş
bakımlı,harap
balaban,bücür
barbar,medeni
batmak,çıkmak
beyan,gizleme
bilgili,cahil
bilgisiz,alim
birlikte,ayrı
bolluk,kıtlık
bozmak,yapmak
bücür,balaban
cafcaflı,sade
çağdaş,bağnaz
çetrefil,açık
cingöz,avanak
çizmek,silmek
çokluk,teklik
çorak,verimli
dahili,harici
davacı,davalı
dilbaz,suskun
dilber,çirkin
dinamik,duruk
dindar,ateist
dönek,kararlı
donmak,erimek
dönmek,gitmek
dostluk,garaz
durmak,gitmek
duruk,dinamik
duygusuz,içli
düzgün,çarpık
düzlük,engebe
edilgen,etken
enayi,açıkgöz
engebe,düzlük
erimek,donmak
etken,edilgen
etkin,edilgin
felaket,refah
fukara,zengin
garaz,dostluk
geçici,kalıcı
geçmek,durmak
gelmek,gitmek
gergin,gevşek
geveze,suskun
gezmek,durmak
girmek,çıkmak
gitmek,gelmek
gizleme,beyan
görkemli,sade
hakikat,yalan
harap,bakımlı
harici,dahili
haşin,yumuşak
hezimet,zafer
içli,duygusuz
illegal,legal
istikbal,mazi
kalıcı,geçici
katışık,halis
kazak,kılıbık
kilibik,kazak
kıraç,verimli
kısır,üretken
kıtlık,bolluk
konuşma,susma
kurban,cellat
küsme,barışma
legal,illegal
mantıklı,abes
mutlu,bedbaht
nikbin,bedbin
önemsiz,ciddi
refah,felaket
sabit,dinamik
sayısal,sözel
sentez,analiz
sessiz,dilbaz
sevinç,üzüntü
silmek,çizmek
sözel,sayısal
süratli,yavaş
toplu,dağınık
utangaç,arsız
üzüntü,sevinç
varsıl,yoksul
vefalı,bivefa
verimli,kıraç
yandaş,yansız
yanli,bitaraf
yansız,yandaş
yapmak,bozmak
yerli,yabancı
yıkmak,yapmak
yoksul,varsıl
açıkça,gizlice
acıkmak,doymak
acılış,kapanış
adil,adaletsiz
ağlamak,gülmek
alenen,gizlice
anormal,normal
arızalı,sağlam
asılsız,gerçek
ayır,birleştir
azalma,çoğalma
azmak,uslanmak
bahadır,korkak
bakır,bozulmuş
barışık,dargın
bedava,ücretli
bedelli,bedava
belirli,meçhul
belli,belgisiz
bencil,özgecil
bereket,kıtlık
berrak,bulanık
beşeri,hayvani
bezgin,istekli
bildik,yabancı
birey,topluluk
borda,alabanda
çalık,düzelmiş
cazibeli,itici
çelişik,uyumlu
centilmen,kaba
cevval,pısırık
çıplak,giyinik
çoğalma,azalma
dalgalı,durgun
dargın,barışık
devamlı,fasıla
doğurgan,kısır
doymak,acıkmak
dünyevi,uhrevi
düşmek,kalkmak
